collision_severity,road_type,speed_limit,urban_or_rural_area,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,number_of_vehicles,number_of_casualties,vehicle_type_mode,any_skidding,avg_vehicle_age,time_sin,time_cos,day_sin,day_cos,speed_x_area
3,6,60,2,0,-1,1,1,1,0,3,1,9,0,11.666666666666666,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,120
3,6,60,2,0,-1,6,8,4,0,2,1,9,1,12.5,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,120
2,6,30,1,16,4,1,1,2,0,2,1,9,0,11.0,-0.5000000000000001,-0.8660254037844386,0.7818314824680298,0.6234898018587336,30
3,6,60,2,0,-1,1,1,1,0,2,1,1,0,2.5,0.6087614290087204,-0.7933533402912353,-0.433883739117558,-0.9009688679024191,120
3,6,30,2,0,-1,1,1,1,0,3,1,9,0,3.333333333333333,0.13052619222005157,-0.9914448613738104,-2.4492935982947064e-16,1.0,60
2,6,30,1,0,4,1,1,1,0,2,1,1,0,7.0,-0.9396926207859085,0.34202014332566816,-0.433883739117558,-0.9009688679024191,30
3,6,30,1,0,-1,1,7,2,17,1,1,9,0,10.0,-0.887010833178222,0.46174861323503325,0.9749279121818236,-0.22252093395631434,30
3,6,30,2,0,-1,6,1,1,0,1,1,9,0,16.0,-0.4500984410374347,0.8929789434111371,0.43388373911755823,-0.900968867902419,60
3,6,30,2,0,4,1,1,2,0,1,1,9,0,24.0,0.7223639620597556,-0.6915130557822693,0.9749279121818236,-0.22252093395631434,60
1,6,30,1,16,2,4,2,2,0,4,2,9,0,9.5,-0.5409744713679948,0.8410390129643919,0.43388373911755823,-0.900968867902419,30
2,6,30,1,13,4,4,1,1,0,1,1,9,0,7.0,0.9961946980917455,-0.08715574274765824,0.7818314824680298,0.6234898018587336,30
3,6,30,1,16,-1,1,1,1,0,2,1,9,0,0.5,-0.7372773368101239,-0.6755902076156604,-0.7818314824680299,0.6234898018587334,30
2,2,30,1,0,-1,4,1,2,0,1,1,9,0,9.0,0.3420201433256687,0.9396926207859084,-0.433883739117558,-0.9009688679024191,30
2,6,30,1,13,4,4,1,1,0,1,1,9,0,7.0,-0.5299192642332058,0.8480480961564254,-2.4492935982947064e-16,1.0,30
3,6,30,1,13,4,7,1,1,0,2,1,9,0,10.0,0.894934361602025,-0.4461978131098088,-0.433883739117558,-0.9009688679024191,30
3,6,30,1,19,4,1,1,1,13,2,1,9,0,9.5,-0.27982901403099203,-0.9600498543859287,-0.433883739117558,-0.9009688679024191,30
2,1,30,1,0,4,6,1,1,0,3,1,1,0,1.3333333333333333,0.9396926207859083,0.3420201433256688,-2.4492935982947064e-16,1.0,30
3,3,70,2,0,-1,4,1,1,0,7,4,9,0,1.5714285714285714,0.9781476007338057,-0.20791169081775912,-0.433883739117558,-0.9009688679024191,140
2,9,20,1,19,4,1,1,1,0,1,1,9,0,6.0,0.6593458151000686,-0.7518398074789776,-0.9749279121818236,-0.2225209339563146,20
3,6,30,1,13,4,1,1,1,0,2,1,9,0,7.0,-0.7071067811865475,-0.7071067811865477,-0.7818314824680299,0.6234898018587334,30
3,6,30,1,13,4,1,1,1,13,1,1,9,0,10.0,-0.13052619222005132,-0.9914448613738105,-0.433883739117558,-0.9009688679024191,30
3,6,30,1,0,-1,1,1,1,0,2,1,9,0,4.0,-0.9807852804032303,-0.19509032201612866,0.9749279121818236,-0.22252093395631434,30
2,6,30,1,13,4,4,2,2,0,2,1,1,0,0.5,-0.9537169507482267,-0.3007057995042738,0.9749279121818236,-0.22252093395631434,30
2,6,30,1,0,-1,4,1,1,0,1,1,9,0,4.0,-0.9733792584604486,0.22920039092241382,0.43388373911755823,-0.900968867902419,30
3,6,30,1,13,4,1,1,1,13,2,1,4,0,12.0,-0.10452846326765305,-0.9945218953682734,-0.9749279121818236,-0.2225209339563146,30
3,3,30,1,13,2,1,1,1,0,1,1,9,0,7.0,-0.3624380382837015,-0.9320078692827986,0.7818314824680298,0.6234898018587336,30
2,6,30,1,13,4,4,1,1,0,2,4,8,0,6.0,-0.2588190451025207,0.9659258262890683,-0.7818314824680299,0.6234898018587334,30
3,3,30,1,16,2,1,1,1,0,2,2,5,0,3.0,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0,30
2,6,30,1,0,-1,4,2,2,0,1,1,9,0,11.0,-0.15212338618991633,0.9883615104677608,0.43388373911755823,-0.900968867902419,30
3,6,40,2,13,4,1,1,1,0,2,1,9,0,9.0,-0.9940563382223196,0.10886687485196471,0.9749279121818236,-0.22252093395631434,80
3,6,30,1,0,4,1,1,1,0,2,2,9,0,3.0,0.7223639620597556,-0.6915130557822693,-0.9749279121818236,-0.2225209339563146,30
3,3,30,1,0,4,1,1,1,0,2,2,9,0,4.5,-0.9978589232386036,0.06540312923014237,0.7818314824680298,0.6234898018587336,30
3,6,30,1,0,-1,1,2,2,0,1,1,20,0,7.0,-0.25881904510252035,-0.9659258262890684,-0.7818314824680299,0.6234898018587334,30
3,6,30,1,0,-1,1,4,1,17,2,1,1,0,5.0,-0.23768589232617313,-0.9713420698132614,0.9749279121818236,-0.22252093395631434,30
3,6,40,2,0,-1,4,1,1,0,1,1,9,1,1.0,-0.8433914458128857,0.5372996083468239,-2.4492935982947064e-16,1.0,80
3,6,30,1,0,-1,1,1,1,0,1,1,9,0,12.0,-0.8929789434111368,-0.4500984410374354,-0.7818314824680299,0.6234898018587334,30
3,6,30,1,13,4,4,2,2,0,1,2,9,2,18.0,0.8433914458128856,0.5372996083468239,0.43388373911755823,-0.900968867902419,30
3,6,20,1,0,-1,1,1,1,0,2,1,9,0,3.5,0.4617486132350339,-0.8870108331782217,-0.7818314824680299,0.6234898018587334,20
3,6,20,1,0,-1,1,2,2,0,1,1,9,0,1.0,-0.34611705707749263,-0.9381913359224843,0.7818314824680298,0.6234898018587336,20
2,6,30,1,0,-1,4,1,1,0,1,1,9,0,14.0,-0.21643961393810288,0.9762960071199334,-0.7818314824680299,0.6234898018587334,30
3,6,30,1,19,4,1,1,1,0,1,1,9,0,5.0,0.6427876096865395,-0.7660444431189779,-0.7818314824680299,0.6234898018587334,30
3,6,30,1,13,4,4,1,1,0,2,1,9,0,9.0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,30
3,6,20,1,0,4,1,1,1,0,2,1,3,0,6.0,0.296541574975571,-0.9550199444571866,-0.9749279121818236,-0.2225209339563146,20
3,7,30,1,0,-1,1,1,1,0,2,1,9,0,3.5,-0.608761429008721,0.7933533402912349,-2.4492935982947064e-16,1.0,30
3,6,30,1,0,-1,4,1,1,0,2,1,9,0,7.0,0.13052619222005157,0.9914448613738104,0.9749279121818236,-0.22252093395631434,30
2,1,30,1,0,4,1,1,1,0,2,1,1,0,3.0,0.7489557207890021,-0.6626200482157376,0.7818314824680298,0.6234898018587336,30
3,6,40,1,0,-1,4,2,2,13,1,1,9,0,11.0,0.05233595624294383,0.9986295347545738,0.7818314824680298,0.6234898018587336,40
3,6,30,1,19,4,1,1,1,0,2,2,9,0,5.5,-0.5000000000000001,-0.8660254037844386,-0.433883739117558,-0.9009688679024191,30
3,3,30,1,13,4,1,1,1,0,2,1,9,0,2.5,-0.9914448613738104,0.13052619222005213,-0.7818314824680299,0.6234898018587334,30
3,1,30,1,0,4,1,1,1,0,2,1,9,0,6.0,-0.7688418320734598,-0.6394390019805845,0.43388373911755823,-0.900968867902419,30
3,6,30,1,13,4,1,1,1,0,2,1,9,0,5.5,-0.4617486132350337,-0.8870108331782218,-2.4492935982947064e-16,1.0,30
3,6,30,1,0,-1,1,1,1,0,2,1,19,0,2.5,0.819152044288992,-0.5735764363510458,0.43388373911755823,-0.900968867902419,30
3,3,30,1,13,4,1,1,1,0,1,1,9,0,18.0,0.6593458151000686,-0.7518398074789776,-0.9749279121818236,-0.2225209339563146,30
3,6,30,1,13,4,4,1,1,0,2,1,3,0,4.0,-0.9914448613738104,0.13052619222005213,-0.7818314824680299,0.6234898018587334,30
3,3,30,1,0,-1,1,1,1,0,2,1,9,5,8.5,0.8290375725550417,-0.5591929034707467,-2.4492935982947064e-16,1.0,30
3,6,20,1,0,-1,1,1,1,0,1,1,11,0,5.0,-0.8115739819650121,-0.5842496656374347,-0.433883739117558,-0.9009688679024191,20
2,6,30,1,0,-1,1,1,1,0,2,1,9,0,7.5,-0.6755902076156598,-0.7372773368101244,-0.433883739117558,-0.9009688679024191,30
3,6,30,1,0,-1,1,4,1,0,2,1,11,0,6.5,-0.7071067811865475,-0.7071067811865477,-0.433883739117558,-0.9009688679024191,30
3,6,30,1,0,-1,1,1,1,0,2,1,9,0,6.5,0.8480480961564261,-0.5299192642332048,-0.7818314824680299,0.6234898018587334,30
3,6,30,1,13,4,1,1,1,0,2,5,9,0,13.5,-0.7933533402912349,-0.6087614290087209,0.7818314824680298,0.6234898018587336,30
2,6,30,1,0,-1,1,1,1,0,1,1,8,0,4.0,-0.021814885034560975,-0.9997620270799091,0.7818314824680298,0.6234898018587336,30
3,6,30,1,0,-1,1,1,1,0,1,1,9,0,14.0,0.06540312923014312,-0.9978589232386035,-2.4492935982947064e-16,1.0,30
3,6,30,1,13,4,4,1,4,0,2,1,9,0,8.5,-0.9713420698132614,0.23768589232617307,-2.4492935982947064e-16,1.0,30
3,3,40,2,0,-1,1,8,1,13,2,1,9,0,6.5,-0.5591929034707467,-0.8290375725550417,0.9749279121818236,-0.22252093395631434,80
