collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2022170L10602,2022,170L10602,1,1,3,2,50,8,1,5,4,0,0,0,0,3,E01012181,-1,0,0,0,-1
2022010387462,2022,010387462,2,1,2,2,33,6,3,0,0,1,0,0,9,6,E01002298,-1,0,0,1,-1
2022411221377,2022,411221377,1,1,1,2,19,4,3,0,0,0,0,0,9,4,E01023302,3,1,0,1,-1
2022451135144,2022,451135144,1,1,1,2,23,5,3,0,0,0,0,0,9,5,E01022603,3,1,0,1,-1
2022010358280,2022,010358280,1,1,1,2,41,7,3,0,0,0,0,0,9,2,E01003197,-1,0,0,1,-1
2022221246351,2022,221246351,1,1,1,1,18,4,3,0,0,0,0,0,9,5,E01032198,3,1,0,1,-1
2022141246014,2022,141246014,1,1,2,1,84,11,2,0,0,1,0,0,9,-1,-1,6,1,1,0,-1
2022451241340,2022,451241340,1,1,1,1,40,7,3,0,0,0,0,0,9,9,E01003838,3,1,0,1,-1
2022991249030,2022,991249030,1,3,1,1,26,6,3,0,0,0,0,0,9,6,-1,3,1,0,1,-1
2022041230119,2022,041230119,1,1,3,1,15,3,3,6,9,0,0,0,0,2,E01024886,3,1,0,1,-1
2022141207036,2022,141207036,1,1,3,2,4,1,3,8,1,0,0,0,0,-1,-1,3,1,0,1,-1
2022461148915,2022,461148915,1,1,3,2,74,10,3,5,1,0,0,0,0,4,E01024178,3,1,0,1,-1
2022061252500,2022,061252500,2,1,1,2,48,8,3,0,0,0,0,0,1,9,E01005854,3,1,0,1,-1
2022221204742,2022,221204742,2,1,1,2,42,7,3,0,0,0,0,0,1,8,E01022144,3,1,0,1,-1
2022122200605,2022,122200605,2,1,1,1,41,7,2,0,0,0,0,0,4,6,E01011299,-1,0,1,0,-1
2022401202361,2022,401202361,1,1,1,1,20,4,1,0,0,0,0,0,9,4,E01015784,1,1,0,0,-1
2022461274165,2022,461274165,1,1,1,2,27,6,3,0,0,0,0,0,9,7,E01024801,3,1,0,1,-1
2022041158635,2022,041158635,2,1,2,2,60,9,3,0,0,0,4,0,11,1,E01012698,3,1,0,1,-1
2022010412067,2022,010412067,1,1,1,1,32,6,3,0,0,0,0,0,3,4,E01000612,-1,0,0,1,-1
2022471215071,2022,471215071,1,2,2,2,26,6,3,0,0,1,0,0,9,2,E01031790,3,1,0,1,-1
202234NNC2622,2022,34NNC2622,2,2,2,1,33,6,3,0,0,2,0,0,9,-1,-1,-1,0,0.00929,0.99071,-1
2022131190790,2022,131190790,2,1,1,1,61,9,1,0,0,0,0,0,1,9,E01011654,1,1,0,0,-1
2022010383009,2022,010383009,1,1,3,1,47,8,2,5,1,0,0,0,0,3,E01000977,-1,0,1,0,-1
2022010394878,2022,010394878,1,3,3,1,51,8,2,5,3,0,0,0,0,9,E01002263,-1,0,1,0,-1
2022111179387,2022,111179387,1,3,2,1,2,1,3,0,0,2,0,0,9,8,E01020659,3,1,0,1,-1
2022430110780,2022,430110780,3,2,2,1,28,6,3,0,0,1,0,0,9,-1,-1,-1,0,0.06389,0.93611,-1
2022461310794,2022,461310794,2,2,1,1,42,7,2,0,0,0,0,0,19,10,E01024632,7,1,1,0,-1
2022010359030,2022,010359030,1,1,3,1,30,6,3,5,1,0,0,0,0,8,E01000680,-1,0,0,1,-1
2022010363660,2022,010363660,1,1,3,1,31,6,2,5,1,0,0,0,0,8,E01000420,-1,0,1,0,-1
2022451240985,2022,451240985,2,1,1,1,56,9,3,0,0,0,0,0,1,9,E01030715,3,1,0,1,-1
2022411192413,2022,411192413,2,1,1,-1,27,6,2,0,0,0,0,0,3,2,E01001433,7,1,1,0,-1
2022461144381,2022,461144381,2,1,1,1,25,5,3,0,0,0,0,0,3,1,E01016083,3,1,0,1,-1
2022010386582,2022,010386582,1,1,1,-1,31,6,3,0,0,0,0,0,9,3,E01003603,-1,0,0,1,-1
2022031159900,2022,031159900,2,1,1,1,42,7,3,0,0,0,0,0,9,6,E01019100,3,1,0,1,-1
2022052202090,2022,052202090,1,1,1,1,54,8,3,0,0,0,0,0,9,4,E01007174,-1,0,0.06349,0.93651,-1
2022131222795,2022,131222795,2,1,1,2,42,7,3,0,0,0,0,0,9,1,E01010623,3,1,0,1,-1
2022231142209,2022,231142209,2,1,1,1,49,8,3,0,0,0,0,0,9,10,E01031228,3,1,0,1,-1
2022461264150,2022,461264150,1,2,2,2,68,10,2,0,0,1,0,0,9,10,E01024811,5,1,1,0,-1
2022991254423,2022,991254423,1,1,1,2,40,7,2,0,0,0,0,0,9,4,-1,6,1,1,0,-1
2022010384210,2022,010384210,1,1,2,1,-1,-1,3,0,0,0,9,0,11,5,E01002443,-1,0,0,1,-1
2022010367297,2022,010367297,2,1,1,1,25,5,3,0,0,0,0,0,1,5,E01033741,-1,0,0,1,-1
2022010379788,2022,010379788,1,1,1,1,35,6,3,0,0,0,0,0,1,2,E01004310,-1,0,0,1,-1
2022061250703,2022,061250703,2,1,1,1,47,8,3,0,0,0,0,0,8,4,E01005436,3,1,0,1,-1
2022010385442,2022,010385442,1,1,1,1,37,7,3,0,0,0,0,0,9,5,E01001201,-1,0,0,1,-1
2022131244507,2022,131244507,2,3,2,2,3,1,3,0,0,2,0,0,9,1,E01011292,3,1,0,1,-1
2022430252814,2022,430252814,2,1,1,1,25,5,3,0,0,0,0,0,9,7,E01016307,-1,0,0.07181,0.92819,-1
2022546328922,2022,546328922,1,1,3,1,36,7,3,5,9,0,0,0,0,9,E01015473,-1,0,0.02977,0.97023,-1
2022991189039,2022,991189039,1,1,3,1,14,3,3,5,1,0,0,0,0,5,-1,3,1,0,1,-1
2022501180370,2022,501180370,2,1,1,1,30,6,3,0,0,0,0,0,1,3,E01015085,3,1,0,1,-1
2022991184471,2022,991184471,2,1,1,1,35,6,2,0,0,0,0,0,1,8,-1,5,1,1,0,-1
2022041168613,2022,041168613,2,2,1,2,85,11,3,0,0,0,0,0,9,9,E01025133,3,1,0,1,-1
2022201143687,2022,201143687,2,1,1,2,60,9,2,0,0,0,0,0,9,3,E01009621,7,1,1,0,-1
2022401204927,2022,401204927,1,1,1,1,70,10,2,0,0,0,0,0,9,8,E01017498,6,1,1,0,-1
2022622200560,2022,622200560,1,2,2,2,11,3,3,0,0,1,0,0,9,1,W01001884,-1,0,0.03373,0.96627,-1
2022351231124,2022,351231124,1,1,1,2,16,4,3,0,0,0,0,0,23,9,E01018136,3,1,0,1,-1
2022991256101,2022,991256101,1,1,3,1,42,7,3,4,3,0,0,0,0,2,-1,3,1,0,1,-1
2022461172244,2022,461172244,2,1,1,1,55,8,3,0,0,0,0,0,8,-1,-1,3,1,0,1,-1
2022421211111,2022,421211111,1,1,1,1,34,6,2,0,0,0,0,0,9,5,E01023327,7,1,1,0,-1
202260B124876,2022,60B124876,2,1,2,1,13,3,3,0,0,2,0,0,9,-1,-1,-1,0,0.04081,0.95919,-1
2022991206354,2022,991206354,1,1,1,1,41,7,2,0,0,0,0,0,9,4,-1,6,1,1,0,-1
202234NNC2352,2022,34NNC2352,1,2,1,1,23,5,3,0,0,0,0,0,-1,2,E01027314,-1,0,0.12212,0.87788,-1
2022010417607,2022,010417607,1,1,1,2,41,7,3,0,0,0,0,0,9,9,E01027642,-1,0,0,1,-1
2022311142771,2022,311142771,2,2,2,2,36,7,3,0,0,2,0,0,9,2,E01013842,3,1,0,1,-1
2022991253911,2022,991253911,1,1,1,1,21,5,3,0,0,0,0,0,9,7,-1,3,1,0,1,-1
2022010373707,2022,010373707,2,1,1,1,59,9,2,0,0,0,0,0,1,7,E01003206,-1,0,1,0,-1
2022010375253,2022,010375253,1,1,1,1,37,7,3,0,0,0,0,0,1,4,E01033572,-1,0,0,1,-1
2022010367335,2022,010367335,1,2,1,1,41,7,3,0,0,0,0,0,9,-1,-1,-1,0,0,1,-1
2022201163175,2022,201163175,1,1,2,1,59,9,3,0,0,2,0,0,9,1,E01033648,3,1,0,1,-1
2022421208679,2022,421208679,2,1,1,2,49,8,2,0,0,0,0,0,9,9,E01022082,5,1,1,0,-1
2022440438552,2022,440438552,1,2,1,1,80,11,3,0,0,0,0,0,9,9,E01023147,-1,0,0.11854,0.88146,-1
2022471255400,2022,471255400,2,3,2,2,74,10,3,0,0,1,0,0,9,5,E01031611,3,1,0,1,-1
2022430315142,2022,430315142,2,2,1,1,47,8,3,0,0,0,0,0,19,10,E01028764,-1,0,0.11306,0.88694,-1
2022131194079,2022,131194079,2,4,2,1,10,2,3,0,0,2,0,0,9,2,E01011359,3,1,0,1,-1
2022201273434,2022,201273434,1,1,1,1,36,7,3,0,0,0,0,0,9,5,E01009031,3,1,0,1,-1
2022461235446,2022,461235446,2,2,2,1,26,6,3,0,0,1,0,0,9,6,E01024301,3,1,0,1,-1
2022161248936,2022,161248936,2,1,1,1,27,6,3,0,0,0,0,0,9,3,E01013286,3,1,0,1,-1
2022320343440,2022,320343440,2,1,1,2,36,7,3,0,0,0,0,0,9,3,E01026064,-1,0,0.05632,0.94368,-1
2022430336494,2022,430336494,1,1,1,2,85,11,2,0,0,0,0,0,9,10,E01028609,-1,0,1,0,-1
2022461237020,2022,461237020,1,1,1,1,19,4,3,0,0,0,0,0,9,5,E01024168,3,1,0,1,-1
2022010367004,2022,010367004,2,1,1,1,56,9,3,0,0,0,0,0,1,2,E01004252,-1,0,0,1,-1
2022461195748,2022,461195748,2,1,1,1,32,6,3,0,0,0,0,0,9,1,E01024389,3,1,0,1,-1
2022461228445,2022,461228445,1,2,2,1,19,4,3,0,0,1,0,0,9,7,E01024578,3,1,0,1,-1
2022010380896,2022,010380896,1,1,3,1,16,4,3,1,1,0,0,0,0,2,E01001833,-1,0,0,1,-1
2022201284856,2022,201284856,1,2,3,2,43,7,3,5,3,0,0,2,0,10,E01032138,3,1,0,1,-1
2022010383788,2022,010383788,2,1,1,2,23,5,3,0,0,0,0,0,2,-1,-1,-1,0,0,1,-1
2022401251755,2022,401251755,1,1,2,2,38,7,3,0,0,-1,0,0,9,3,E01017562,3,1,0,1,-1
2022010385425,2022,010385425,2,1,1,1,-1,-1,3,0,0,0,0,0,99,-1,-1,-1,0,0,1,-1
2022201219278,2022,201219278,1,1,3,2,39,7,3,6,9,0,0,2,0,6,E01010115,3,1,0,1,-1
2022311208057,2022,311208057,1,1,3,2,42,7,2,1,1,0,0,0,0,1,E01013876,7,1,1,0,-1
2022991159962,2022,991159962,1,1,3,2,27,6,3,5,2,0,0,0,0,3,-1,3,1,0,1,-1
2022522203212,2022,522203212,2,1,1,1,20,4,3,0,0,0,0,0,1,6,E01014558,-1,0,0.0299,0.9701,-1
2022131190800,2022,131190800,2,1,1,1,19,4,2,0,0,0,0,0,3,4,E01011323,7,1,1,0,-1
2022010373674,2022,010373674,1,1,1,1,32,6,3,0,0,0,0,0,5,9,E01000991,-1,0,0,1,-1
2022101249293,2022,101249293,2,1,1,1,53,8,3,0,0,0,0,0,5,1,E01008165,3,1,0,1,-1
2022201268207,2022,201268207,1,1,1,2,45,7,3,0,0,0,0,0,9,5,E01009235,3,1,0,1,-1
2022401154527,2022,401154527,1,4,2,2,24,5,3,0,0,1,0,0,9,3,E01015761,3,1,0,1,-1
2022451217198,2022,451217198,1,1,1,2,34,6,3,0,0,0,0,0,9,4,E01024429,3,1,0,1,-1
202260B124935,2022,60B124935,1,1,1,2,64,9,3,0,0,0,0,0,9,-1,-1,-1,0,0.12129,0.87871,-1
2022010418223,2022,010418223,1,1,3,1,32,6,3,5,9,0,0,0,0,2,E01001982,-1,0,0,1,-1
2022010402960,2022,010402960,1,1,1,1,44,7,3,0,0,0,0,0,1,4,E01000949,-1,0,0,1,-1
2022361202561,2022,361202561,2,1,1,1,52,8,3,0,0,0,0,0,1,8,E01030269,3,1,0,1,-1
2022471244173,2022,471244173,2,1,1,1,18,4,2,0,0,0,0,0,3,1,E01031429,5,1,1,0,-1
202263D063522,2022,63D063522,1,1,1,1,71,10,2,0,0,0,0,0,3,7,W01000460,-1,0,1,0,-1
2022201180563,2022,201180563,2,5,2,2,17,4,3,0,0,-1,0,0,9,1,E01009500,3,1,0,1,-1
2022351223234,2022,351223234,2,2,2,2,46,8,3,0,0,1,0,0,9,8,E01002181,3,1,0,1,-1
2022421154969,2022,421154969,2,2,2,2,15,3,3,0,0,1,0,0,9,8,E01021347,3,1,0,1,-1
2022430531005,2022,430531005,1,2,2,2,44,7,3,0,0,1,0,0,9,10,E01017859,-1,0,0.00744,0.99256,-1
2022461188256,2022,461188256,1,2,2,1,26,6,3,0,0,1,0,0,9,-1,-1,3,1,0,1,-1
2022991194637,2022,991194637,1,1,1,1,82,11,3,0,0,0,0,0,9,6,-1,3,1,0,1,-1
2022221173513,2022,221173513,1,1,3,1,52,8,3,9,6,0,0,1,0,4,E01028965,3,1,0,1,-1
2022520300305,2022,520300305,1,1,1,2,32,6,3,0,0,0,0,0,3,7,E01029278,-1,0,0.12869,0.87131,-1
2022520201774,2022,520201774,2,1,1,1,53,8,2,0,0,0,0,0,4,7,E01014394,-1,0,1,0,-1
2022041169746,2022,041169746,1,1,1,2,82,11,3,0,0,0,0,0,9,7,E01024905,3,1,0,1,-1
2022052201072,2022,052201072,2,2,1,1,19,4,3,0,0,0,0,0,9,6,E01032591,-1,0,0.04274,0.95726,-1
2022302200459,2022,302200459,2,2,1,1,32,6,3,0,0,0,0,0,9,7,E01018448,-1,0,0.07957,0.92043,-1
2022351225799,2022,351225799,2,1,1,1,47,8,3,0,0,0,0,0,9,3,E01018072,3,1,0,1,-1
2022440151610,2022,440151610,2,1,1,2,27,6,2,0,0,0,0,0,9,3,E01000385,-1,0,1,0,-1
2022451253269,2022,451253269,1,2,2,1,19,4,3,0,0,1,0,0,9,3,E01002559,3,1,0,1,-1
2022552201388,2022,552201388,3,1,1,1,36,7,2,0,0,0,0,0,9,2,E01020347,-1,0,1,0,-1
2022101203877,2022,101203877,2,1,1,1,24,5,3,0,0,0,0,0,1,2,E01008664,3,1,0,1,-1
2022451197430,2022,451197430,2,2,1,1,26,6,3,0,0,0,0,0,9,7,E01000986,3,1,0,1,-1
2022501215006,2022,501215006,2,2,1,2,58,9,3,0,0,0,0,0,9,5,E01020232,3,1,0,1,-1
2022010376144,2022,010376144,1,1,2,1,80,11,3,0,0,0,4,0,11,9,E01000382,-1,0,0,1,-1
2022010372890,2022,010372890,1,1,3,1,55,8,3,5,2,0,0,0,0,9,E01022279,-1,0,0,1,-1
2022440267596,2022,440267596,2,1,1,1,25,5,3,0,0,0,0,0,3,5,E01031512,-1,0,0.16335,0.83665,-1
2022201271289,2022,201271289,2,1,1,1,50,8,3,0,0,0,0,0,9,4,E01009894,3,1,0,1,-1
2022440494495,2022,440494495,2,1,1,2,50,8,3,0,0,0,0,0,9,3,E01022908,-1,0,0.01445,0.98555,-1
2022540788822,2022,540788822,2,1,1,2,58,9,2,0,0,0,0,0,9,7,E01031961,-1,0,1,0,-1
2022991149244,2022,991149244,2,1,2,2,71,10,2,0,0,1,0,0,9,6,-1,6,1,1,0,-1
2022440504107,2022,440504107,1,1,1,1,59,9,3,0,0,0,0,0,9,6,E01022640,-1,0,0.05892,0.94108,-1
2022101233565,2022,101233565,1,1,1,2,33,6,3,0,0,0,0,0,-1,-1,-1,3,1,0,1,-1
2022161227835,2022,161227835,2,3,2,1,77,11,2,0,0,1,0,0,9,3,E01028027,7,1,1,0,-1
2022170H10802,2022,170H10802,1,1,2,2,37,7,3,0,0,1,0,0,9,3,E01011964,-1,0,0.02675,0.97325,-1
2022421198600,2022,421198600,2,1,1,1,67,10,3,0,0,0,0,0,9,1,E01021500,3,1,0,1,-1
2022461140988,2022,461140988,1,1,1,1,57,9,3,0,0,0,0,0,9,9,E01024473,3,1,0,1,-1
2022461187673,2022,461187673,3,3,1,1,44,7,3,0,0,0,0,0,9,5,E01032654,3,1,0,1,-1
20225222SS540,2022,5222SS540,2,4,2,1,77,11,3,0,0,2,0,0,9,5,E01018900,-1,0,0.0658,0.9342,-1
2022430144645,2022,430144645,1,1,1,1,27,6,3,0,0,0,0,0,3,9,E01016688,-1,0,0.01472,0.98528,-1
2022010379605,2022,010379605,1,1,1,2,50,8,3,0,0,0,0,0,9,7,E01002986,-1,0,0,1,-1
2022122200511,2022,122200511,1,2,2,2,19,4,3,0,0,1,0,0,9,8,E01027621,-1,0,0.07098,0.92902,-1
2022201230644,2022,201230644,2,1,1,2,37,7,3,0,0,0,0,0,9,9,E01010331,3,1,0,1,-1
2022201245725,2022,201245725,2,1,1,1,25,5,3,0,0,0,0,0,9,3,E01009992,3,1,0,1,-1
2022302201790,2022,302201790,2,6,2,-1,10,2,3,0,0,2,0,0,9,1,E01009124,-1,0,0.02715,0.97285,-1
20225222BR558,2022,5222BR558,2,2,1,1,21,5,2,0,0,0,0,0,9,7,E01014916,-1,0,1,0,-1
2022010393027,2022,010393027,1,1,2,2,60,9,3,0,0,0,3,0,11,-1,-1,-1,0,0,1,-1
2022430177431,2022,430177431,2,2,2,2,69,10,3,0,0,1,0,0,9,9,E01016750,-1,0,0.02115,0.97885,-1
2022010396343,2022,010396343,2,2,1,1,57,9,3,0,0,0,0,0,9,5,E01003741,-1,0,0,1,-1
2022041232714,2022,041232714,1,2,2,2,81,11,2,0,0,1,0,0,9,9,E01025175,6,1,1,0,-1
2022010402569,2022,010402569,1,1,1,1,43,7,2,0,0,0,0,0,2,8,E01002989,-1,0,1,0,-1
2022111183813,2022,111183813,1,1,2,1,24,5,2,0,0,1,0,0,9,4,E01020681,7,1,1,0,-1
2022131214531,2022,131214531,2,1,2,2,55,8,3,0,0,2,0,0,9,1,E01011729,3,1,0,1,-1
2022131229416,2022,131229416,2,1,1,1,72,10,3,0,0,0,0,0,9,4,E01011098,3,1,0,1,-1
2022221154241,2022,221154241,2,1,2,2,67,10,2,0,0,1,0,0,9,10,E01009720,7,1,1,0,-1
2022471156239,2022,471156239,1,2,1,2,44,7,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2022501231205,2022,501231205,1,1,1,2,36,7,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2022610011522,2022,610011522,1,2,2,2,34,6,3,0,0,1,0,0,9,2,W01001348,-1,0,0.04846,0.95154,-1
2022221177798,2022,221177798,1,1,1,1,52,8,3,0,0,0,0,0,5,2,E01032202,3,1,0,1,-1
2022010406595,2022,010406595,1,2,2,1,-1,-1,3,0,0,9,0,0,9,1,E01004222,-1,0,0,1,-1
202260B021012,2022,60B021012,1,1,1,1,21,5,3,0,0,0,0,0,9,-1,-1,-1,0,0.14293,0.85707,-1
2022010369745,2022,010369745,1,1,3,2,29,6,3,4,3,0,0,0,0,6,E01004731,-1,0,0,1,-1
2022061222474,2022,061222474,1,1,3,1,11,3,2,5,2,0,0,0,0,10,E01004901,7,1,1,0,-1
2022010371777,2022,010371777,2,1,1,1,35,6,2,0,0,0,0,0,1,4,E01004395,-1,0,1,0,-1
2022351257998,2022,351257998,2,1,1,1,40,7,3,0,0,0,0,0,8,3,E01015665,3,1,0,1,-1
2022991218018,2022,991218018,1,1,1,1,57,9,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2022430474264,2022,430474264,2,1,1,1,40,7,3,0,0,0,0,0,19,3,E01015728,-1,0,0.02059,0.97941,-1
2022010355997,2022,010355997,2,1,1,1,18,4,3,0,0,0,0,0,-1,4,E01002696,-1,0,0,1,-1
2022131193454,2022,131193454,1,1,3,1,51,8,3,5,1,0,0,2,0,3,E01032923,3,1,0,1,-1
2022131225396,2022,131225396,2,1,1,1,62,9,3,0,0,0,0,0,9,6,E01010750,3,1,0,1,-1
202234NNC7732,2022,34NNC7732,2,1,1,1,52,8,3,0,0,0,0,0,9,6,E01027057,-1,0,0.07507,0.92493,-1
2022430463018,2022,430463018,2,3,1,1,41,7,3,0,0,0,0,0,9,10,E01017640,-1,0,0.07584,0.92416,-1
2022010357076,2022,010357076,2,1,1,2,35,6,3,0,0,0,0,0,1,4,E01003106,-1,0,0,1,-1
2022010359296,2022,010359296,1,1,1,1,86,11,2,0,0,0,0,0,9,7,E01003206,-1,0,1,0,-1
2022421145213,2022,421145213,1,1,1,1,21,5,3,0,0,0,0,0,9,9,E01030268,3,1,0,1,-1
2022421196977,2022,421196977,2,1,1,2,41,7,3,0,0,0,0,0,9,10,E01021559,3,1,0,1,-1
2022061133890,2022,061133890,1,1,1,1,22,5,2,0,0,0,0,0,1,3,E01005181,7,1,1,0,-1
2022010382824,2022,010382824,2,1,1,1,76,11,3,0,0,0,0,0,4,3,E01000333,-1,0,0,1,-1
2022061231956,2022,061231956,1,1,1,1,30,6,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2022122200061,2022,122200061,1,1,1,2,22,5,3,0,0,0,0,0,9,3,E01027612,-1,0,0.09061,0.90939,-1
2022201218760,2022,201218760,1,1,1,1,55,8,3,0,0,0,0,0,9,5,E01008969,3,1,0,1,-1
2022471149422,2022,471149422,1,2,2,2,36,7,3,0,0,2,0,0,9,2,E01020910,3,1,0,1,-1
202234WNC3092,2022,34WNC3092,1,1,1,1,20,4,3,0,0,0,0,0,-1,6,E01027169,-1,0,0.14949,0.85051,-1
2022010382108,2022,010382108,2,1,1,1,44,7,3,0,0,0,0,0,9,1,E01026809,-1,0,0,1,-1
2022221160871,2022,221160871,1,1,1,2,35,6,1,0,0,0,0,0,9,-1,-1,1,1,0,0,-1
202234WNC6972,2022,34WNC6972,2,1,1,1,43,7,3,0,0,0,0,0,9,6,E01027213,-1,0,0.03456,0.96544,-1
2022010375907,2022,010375907,1,1,1,2,33,6,3,0,0,0,0,0,1,3,E01004533,-1,0,0,1,-1
2022010412319,2022,010412319,1,1,1,1,31,6,3,0,0,0,0,0,4,6,E01030699,-1,0,0,1,-1
2022201274643,2022,201274643,1,1,2,2,29,6,3,0,0,2,0,0,9,2,E01029359,3,1,0,1,-1
2022231175899,2022,231175899,2,2,2,2,26,6,3,0,0,2,0,0,9,8,E01015631,3,1,0,1,-1
2022311229299,2022,311229299,1,3,2,1,17,4,3,0,0,2,0,0,9,5,E01013968,3,1,0,1,-1
2022361241527,2022,361241527,1,1,1,1,76,11,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2022440428844,2022,440428844,2,2,2,2,27,6,3,0,0,1,0,0,9,2,E01017149,-1,0,0.05678,0.94322,-1
2022522201755,2022,522201755,1,2,2,1,10,2,3,0,0,2,0,0,9,-1,-1,-1,0,0.01433,0.98567,-1
2022010362816,2022,010362816,1,1,3,1,25,5,2,6,9,0,0,0,0,-1,-1,-1,0,1,0,-1
2022311160460,2022,311160460,1,2,3,2,21,5,2,8,3,0,0,0,0,2,E01027952,6,1,1,0,-1
2022010363854,2022,010363854,1,1,1,1,35,6,3,0,0,0,0,0,3,6,E01003107,-1,0,0,1,-1
2022451129250,2022,451129250,1,1,1,1,56,9,3,0,0,0,0,0,9,8,E01002922,3,1,0,1,-1
2022520204648,2022,520204648,1,1,1,1,44,7,3,0,0,0,0,0,9,7,E01032116,-1,0,0.02987,0.97013,-1
2022052200471,2022,052200471,1,1,1,1,45,7,3,0,0,0,0,0,19,8,E01018536,-1,0,0.07678,0.92322,-1
2022131220734,2022,131220734,1,3,3,1,13,3,3,10,9,0,0,1,0,2,E01011867,3,1,0,1,-1
2022471220967,2022,471220967,1,1,3,1,60,9,3,5,1,0,0,0,0,-1,-1,3,1,0,1,-1
2022461252488,2022,461252488,2,1,1,2,38,7,3,0,0,0,0,0,9,1,E01033211,3,1,0,1,-1
202263D064322,2022,63D064322,2,2,2,1,7,2,3,0,0,2,0,0,9,8,E01018375,-1,0,0.05459,0.94541,-1
2022440369229,2022,440369229,1,1,3,2,70,10,2,8,5,0,0,0,0,2,E01023108,-1,0,1,0,-1
2022010380325,2022,010380325,1,1,1,1,47,8,3,0,0,0,0,0,3,4,E01003714,-1,0,0,1,-1
2022201219531,2022,201219531,2,2,2,1,47,8,3,0,0,1,0,0,9,3,E01010050,3,1,0,1,-1
2022440344839,2022,440344839,1,2,2,2,37,7,3,0,0,1,0,0,9,2,E01017168,-1,0,0.00779,0.99221,-1
2022010408768,2022,010408768,1,1,2,2,90,11,3,0,0,0,3,0,11,8,E01001906,-1,0,0,1,-1
2022302200945,2022,302200945,1,1,3,2,6,2,3,10,1,0,0,0,0,1,E01013479,-1,0,0.05438,0.94562,-1
2022501220086,2022,501220086,1,1,3,2,2,1,3,1,1,0,0,0,0,2,E01019990,3,1,0,1,-1
20225222BR629,2022,5222BR629,1,1,3,1,6,2,2,9,9,0,0,0,0,7,E01014611,-1,0,1,0,-1
2022010375320,2022,010375320,1,1,1,2,47,8,3,0,0,0,0,0,9,6,E01003711,-1,0,0,1,-1
2022161248760,2022,161248760,1,2,2,2,25,5,3,0,0,0,0,0,19,5,E01012773,3,1,0,1,-1
2022010384835,2022,010384835,1,1,1,2,49,8,3,0,0,0,0,0,9,9,E01002483,-1,0,0,1,-1
2022101166689,2022,101166689,2,1,1,2,21,5,3,0,0,0,0,0,9,7,E01008585,3,1,0,1,-1
2022161152548,2022,161152548,2,1,1,1,51,8,3,0,0,0,0,0,9,2,E01013038,3,1,0,1,-1
2022201268354,2022,201268354,2,1,1,1,43,7,3,0,0,0,0,0,9,1,E01009080,3,1,0,1,-1
2022201276004,2022,201276004,1,1,1,2,48,8,3,0,0,0,0,0,9,6,E01010211,3,1,0,1,-1
2022471141469,2022,471141469,1,1,1,1,42,7,3,0,0,0,0,0,9,5,E01020921,3,1,0,1,-1
2022531130247,2022,531130247,1,1,1,2,71,10,3,0,0,0,0,0,9,6,E01022260,3,1,0,1,-1
2022991230623,2022,991230623,2,1,1,1,43,7,3,0,0,0,0,0,1,2,-1,3,1,0,1,-1
2022302200366,2022,302200366,1,1,1,1,83,11,3,0,0,0,0,0,9,8,E01026136,-1,0,0.1996,0.8004,-1
2022440312619,2022,440312619,1,1,2,1,80,11,3,0,0,1,0,0,9,10,E01028198,-1,0,0.17135,0.82865,-1
2022010391000,2022,010391000,3,1,1,2,24,5,3,0,0,0,0,0,1,-1,-1,-1,0,0,1,-1
2022421160916,2022,421160916,2,1,1,1,9,2,3,0,0,0,0,0,1,8,E01015974,3,1,0,1,-1
2022010353308,2022,010353308,2,2,2,2,8,2,3,0,0,2,0,0,9,6,E01004181,-1,0,0,1,-1
2022320354000,2022,320354000,2,1,2,2,25,5,3,0,0,1,0,0,9,2,E01026378,-1,0,0.0315,0.9685,-1
2022471194269,2022,471194269,1,1,1,2,43,7,3,0,0,0,0,0,9,6,E01031554,3,1,0,1,-1
2022320646004,2022,320646004,2,1,1,2,89,11,3,0,0,0,0,0,9,9,E01013804,-1,0,0.09155,0.90845,-1
202263D095422,2022,63D095422,1,1,1,2,79,11,3,0,0,0,0,0,9,6,W01000471,-1,0,0.10376,0.89624,-1
2022430004389,2022,430004389,1,1,1,2,49,8,2,0,0,0,0,0,1,9,E01028775,-1,0,1,0,-1
2022451152478,2022,451152478,1,1,1,1,53,8,2,0,0,0,0,0,1,10,E01030506,7,1,1,0,-1
2022010374103,2022,010374103,1,1,1,1,20,4,3,0,0,0,0,0,9,-1,-1,-1,0,0,1,-1
2022070228866,2022,070228866,2,1,2,2,16,4,3,0,0,1,0,0,9,8,E01012372,-1,0,0.02009,0.97991,-1
2022010389544,2022,010389544,1,2,1,1,41,7,2,0,0,0,0,0,1,6,E01000555,-1,0,1,0,-1
